status,sort,user_created,date_created,user_updated,date_updated,chapter,section,title,actual_page,toc_page,url
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1.5,Recouping Indian Overpayments,56,7-7,/document/SMRH.Complete.Handbook.pdf#page=56
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.2,Obligation Reversal ,57,7-7,/document/SMRH.Complete.Handbook.pdf#page=57
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.3,Historical Obligations,57,7-8,/document/SMRH.Complete.Handbook.pdf#page=57
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 8,,Chapter 8: Volume/Value Adjustment Report,58,8-1,/document/SMRH.Complete.Handbook.pdf#page=58
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,8.1,How to Complete a Volume/Value Adjustment Report ,59,8-2,/document/SMRH.Complete.Handbook.pdf#page=59
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,8.1.1,Volume/Value Summary Page,59,8-2,/document/SMRH.Complete.Handbook.pdf#page=59
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,8.1.2,Volume/Value Adjustment Detail Page,60,8-3,/document/SMRH.Complete.Handbook.pdf#page=60
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,8.2,Volume/Value Main Payment Page,62,8-5,/document/SMRH.Complete.Handbook.pdf#page=62
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 9,,Chapter 9: Volume/Value Allocation Tools,64,9-1,/document/SMRH.Complete.Handbook.pdf#page=64
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,9.1,Original P&R Allocation Option Information ,64,9-1,/document/SMRH.Complete.Handbook.pdf#page=64
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,9.1.1,Lease Level Data Input If Using the Allocation Tools,65,9-2,/document/SMRH.Complete.Handbook.pdf#page=65
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,9.1.2,Mine Level Data Input If Using the Allocation Tools ,65,9-2,/document/SMRH.Complete.Handbook.pdf#page=65
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,9.2,Volume/Value P&R Allocation Option Information ,67,9-4,/document/SMRH.Complete.Handbook.pdf#page=67
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Appendices,,,
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix A,,Appendix A: Contact Information,74,A-1,/document/SMRH.Complete.Handbook.pdf#page=74
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix B,,Appendix B: Payment Method Codes,78,B-1,/document/SMRH.Complete.Handbook.pdf#page=78
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix C,,Appendix C: Lease Prefix Conversion Tables,79,C-1,/document/SMRH.Complete.Handbook.pdf#page=79
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Table C-1,Federal Lease Prefix Conversions,79,C-1,/document/SMRH.Complete.Handbook.pdf#page=79
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,Table C-2,Indian Lease Prefix Conversions,81,C-3,/document/SMRH.Complete.Handbook.pdf#page=81
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix D,,Appendix D: Product Codes,82,D-1,/document/SMRH.Complete.Handbook.pdf#page=82
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix E,,Appendix E: Transaction Codes,87,E-1,/document/SMRH.Complete.Handbook.pdf#page=87
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Appendix F,,Appendix F: Adjustment Reason Codes,89,F-1,/document/SMRH.Complete.Handbook.pdf#page=89
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Supplemental Reporting Guidance,,,
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Abbreviations,5,Abbreviations-1,/document/SMRH.Complete.Handbook.pdf#page=5
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,,Glossary,6,Glossary-1,/document/SMRH.Complete.Handbook.pdf#page=6
