legacy_id,name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,sort,creation_date,last_update_date
"87434","Colorado, Baca","08009","CO","Colorado","Baca","Federal","Onshore","Federal onshore","County","County","","CO2Ba","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87435","Colorado, Bent","08011","CO","Colorado","Bent","Federal","Onshore","Federal onshore","County","County","","CO2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87436","Colorado, Broomfield","08014","CO","Colorado","Broomfield","Federal","Onshore","Federal onshore","County","County","","CO2Br","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87437","Colorado, Chaffee","08015","CO","Colorado","Chaffee","Federal","Onshore","Federal onshore","County","County","","CO2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87438","Colorado, Cheyenne","08017","CO","Colorado","Cheyenne","Federal","Onshore","Federal onshore","County","County","","CO2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87439","Colorado, Crowley","08025","CO","Colorado","Crowley","Federal","Onshore","Federal onshore","County","County","","CO2Cr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87440","Colorado, Custer","08027","CO","Colorado","Custer","Federal","Onshore","Federal onshore","County","County","","CO2Cu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87441","Colorado, Delta","08029","CO","Colorado","Delta","Federal","Onshore","Federal onshore","County","County","","CO2De","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87442","Colorado, Dolores","08033","CO","Colorado","Dolores","Federal","Onshore","Federal onshore","County","County","","CO2Do","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87443","Colorado, Douglas","08035","CO","Colorado","Douglas","Federal","Onshore","Federal onshore","County","County","","CO2Do","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87444","Colorado, Eagle","08037","CO","Colorado","Eagle","Federal","Onshore","Federal onshore","County","County","","CO2Ea","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87445","Colorado, Elbert","08039","CO","Colorado","Elbert","Federal","Onshore","Federal onshore","County","County","","CO2El","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87446","Colorado, El Paso","08041","CO","Colorado","El Paso","Federal","Onshore","Federal onshore","County","County","","CO2El","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87447","Colorado, Fremont","08043","CO","Colorado","Fremont","Federal","Onshore","Federal onshore","County","County","","CO2Fr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87448","Colorado, Garfield","08045","CO","Colorado","Garfield","Federal","Onshore","Federal onshore","County","County","","CO2Ga","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87449","Colorado, Grand","08049","CO","Colorado","Grand","Federal","Onshore","Federal onshore","County","County","","CO2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87450","Colorado, Gunnison","08051","CO","Colorado","Gunnison","Federal","Onshore","Federal onshore","County","County","","CO2Gu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87451","Colorado, Huerfano","08055","CO","Colorado","Huerfano","Federal","Onshore","Federal onshore","County","County","","CO2Hu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87452","Colorado, Jackson","08057","CO","Colorado","Jackson","Federal","Onshore","Federal onshore","County","County","","CO2Ja","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87453","Colorado, Kiowa","08061","CO","Colorado","Kiowa","Federal","Onshore","Federal onshore","County","County","","CO2Ki","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87454","Colorado, Kit Carson","08063","CO","Colorado","Kit Carson","Federal","Onshore","Federal onshore","County","County","","CO2Ki","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87455","Colorado, La Plata","08067","CO","Colorado","La Plata","Federal","Onshore","Federal onshore","County","County","","CO2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87456","Colorado, Larimer","08069","CO","Colorado","Larimer","Federal","Onshore","Federal onshore","County","County","","CO2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87457","Colorado, Las Animas","08071","CO","Colorado","Las Animas","Federal","Onshore","Federal onshore","County","County","","CO2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
