legacy_id,creation_date,last_update_date,name,sort,mineral_lease_type,product
"15329","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Langbeinite-Coarse"
"15330","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Langbeinite-Granular"
"15331","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Langbeinite-Special Std"
"15332","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Langbeinite-Standard"
"15333","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Magnesium Chloride Brine"
"15334","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Manure Salts"
"15335","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Muriate Of Potash-Coarse"
"15336","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Muriate Of Potash-Granular"
"15337","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Muriate Of Potash-Standard"
"15338","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Potash"
"15339","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Potassium Sulphate-Granular"
"15340","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Potassium Sulphate Special Std"
"15341","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Potassium Sulphate-Standard"
"15342","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Salt"
"15343","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Soda Ash"
"15344","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Sylvite-Raw Ore"
"15345","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Soda ash","Soda ","Potassium","Soda Ash"
"15346","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Soda ash","Soda ","Potassium","Soda Ash-Granular"
"15347","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Anhydrous Sodium Sulfate"
"15348","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Borax-Anhydrous"
"15349","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Borax-Decahydrate"
"15350","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Borax-Pentahydrate"
"15351","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Boric Acid"
"15352","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Salt"
"15353","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Salt-Waste"
"15354","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Soda Ash"
"15355","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Potassium","Sodium Bi-Carbonate"
"15356","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Quartz","Quart","Quartz",""
"15357","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sand & gravel","Sand ","Sand & Gravel",""
"15358","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sand & gravel","Sand ","Sand & Gravel","Borrow Sand & Gravel"
"15359","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sand & gravel","Sand ","Sand & Gravel","Sand/Gravel"
"15360","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sand & gravel","Sand ","Sand & Gravel","Sand/Gravel-Cubic Yards"
"15361","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Silica sand","Silic","Silica Sand",""
"15362","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Asbestos","Asbes","Sodium","Asbestos"
"15363","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Carbon dioxide","Carbo","Sodium","Carbon Dioxide Gas (CO2)"
"15364","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Mine water","Mine ","Sodium","Mine Water"
"15365","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Sodium","Potassium Sulphate-Standard"
"15366","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sand & gravel","Sand ","Sodium","Borrow Sand & Gravel"
"15367","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Soda ash","Soda ","Sodium","Soda Ash"
"15368","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Soda ash","Soda ","Sodium","Soda Ash-Granular"
"15369","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium",""
"15370","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Anhydrous Sodium Sulfate"
"15371","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Borax-Anhydrous"
"15372","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Borax-Decahydrate"
"15373","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Borax-Pentahydrate"
"15374","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Boric Acid"
"15375","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Boric Oxide"
"15376","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Brine Barrels"
"15377","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Calcium Chloride"
"15378","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Caustic"
"15379","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Purge Liquor"
"15380","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Salt"
"15381","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Salt-Waste"
"15382","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Soda Ash"
"15383","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Soda Ash-Coarse"
"15384","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Soda Ash-Granular"
"15385","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sodium Bi-Carbonate"
"15386","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sodium Bicarbonate Animal Feed"
"15387","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sodium Bisulfite"
"15388","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sodium Decahydrate"
"15389","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sodium Sesquicarbonate"
"15390","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Sulfide"
"15391","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sodium","Trona Ore"
"15392","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Sulfur","Oil"
"15393","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Sulfur","Salt"
"15394","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sulfur","Sulfu","Sulfur",""
"15395","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sulfur","Sulfu","Sulfur","Salt"
"15396","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Tar sands","Tar s","Tar Sands",""
"15397","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Wind","Wind","Wind",""
"15398","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Coal","5","","Coal (tons)"
"15399","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","","Oil (bbl)"
"15400","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Gas","2","","Gas (mcf)"
"15402","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Magnesium chloride brine","Magne","","Magnesium chloride brine (ton)"
"15403","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Humate","Humat","","Humate (ton)"
"15406","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sulfide","Sulfi","","Sulfide (ton)"
