legacy_commodity_id,duplicate_no,legacy_location_id,legacy_period_id,volume,unit,unit_abbr
15400,1,88076,1961261,30634324,"mcf","mcf"
15398,1,88076,1964717,434388,"tons","tons"
15399,1,88076,1964717,5448993,"bbl","bbl"
15400,1,88076,1964717,29992553,"mcf","mcf"
15398,1,88076,1968168,345091,"tons","tons"
15399,1,88076,1968168,5327869,"bbl","bbl"
15400,1,88076,1968168,31397108,"mcf","mcf"
15398,1,88076,1978289,413031,"tons","tons"
15399,1,88076,1978289,5150278,"bbl","bbl"
15400,1,88076,1978289,32036209,"mcf","mcf"
15398,1,88076,1980793,557604,"tons","tons"
15399,1,88076,1980793,4815701,"bbl","bbl"
15400,1,88076,1980793,30882905,"mcf","mcf"
15398,1,88077,25880,33492410,"tons","tons"
15399,1,88077,25880,11019335,"bbl","bbl"
15400,1,88077,25880,297231332,"mcf","mcf"
15398,1,88077,25881,30481388,"tons","tons"
15399,1,88077,25881,10175177,"bbl","bbl"
15400,1,88077,25881,274049406,"mcf","mcf"
15398,1,88077,25882,31554258,"tons","tons"
15399,1,88077,25882,11516953,"bbl","bbl"
15400,1,88077,25882,303482891,"mcf","mcf"
15398,1,88077,25883,30641951,"tons","tons"
15399,1,88077,25883,11287791,"bbl","bbl"
15400,1,88077,25883,295206239,"mcf","mcf"
15398,1,88077,25884,32892522,"tons","tons"
15399,1,88077,25884,11536953,"bbl","bbl"
15400,1,88077,25884,297805886,"mcf","mcf"
15398,1,88077,25885,32945999,"tons","tons"
15399,1,88077,25885,11268678,"bbl","bbl"
15400,1,88077,25885,289859398,"mcf","mcf"
15398,1,88077,25886,35878382,"tons","tons"
15399,1,88077,25886,11778017,"bbl","bbl"
15400,1,88077,25886,298384954,"mcf","mcf"
15398,1,88077,25887,36459087,"tons","tons"
15399,1,88077,25887,11821362,"bbl","bbl"
15400,1,88077,25887,298478382,"mcf","mcf"
15398,1,88077,25888,35116078,"tons","tons"
15399,1,88077,25888,11544446,"bbl","bbl"
15400,1,88077,25888,276763934,"mcf","mcf"
15398,1,88077,25889,32376034,"tons","tons"
15399,1,88077,25889,12007311,"bbl","bbl"
15400,1,88077,25889,304187631,"mcf","mcf"
15398,1,88077,25890,33665424,"tons","tons"
15399,1,88077,25890,11559910,"bbl","bbl"
15400,1,88077,25890,293458038,"mcf","mcf"
15398,1,88077,25891,32510561,"tons","tons"
15399,1,88077,25891,11835110,"bbl","bbl"
15400,1,88077,25891,293561261,"mcf","mcf"
15398,1,88077,25892,34790955,"tons","tons"
15399,1,88077,25892,12250401,"bbl","bbl"
15400,1,88077,25892,296477284,"mcf","mcf"
15398,1,88077,25893,29682030,"tons","tons"
15399,1,88077,25893,11340214,"bbl","bbl"
15400,1,88077,25893,269363836,"mcf","mcf"
15398,1,88077,25894,34623327,"tons","tons"
15399,1,88077,25894,12938908,"bbl","bbl"
15400,1,88077,25894,300504099,"mcf","mcf"
15398,1,88077,25895,32988348,"tons","tons"
15399,1,88077,25895,12700041,"bbl","bbl"
15400,1,88077,25895,289100212,"mcf","mcf"
15398,1,88077,25896,34429428,"tons","tons"
15399,1,88077,25896,13477884,"bbl","bbl"
15400,1,88077,25896,296617500,"mcf","mcf"
15398,1,88077,25897,33330150,"tons","tons"
15399,1,88077,25897,13234105,"bbl","bbl"
15400,1,88077,25897,287712613,"mcf","mcf"
15398,1,88077,25898,35490509,"tons","tons"
15399,1,88077,25898,13992007,"bbl","bbl"
15400,1,88077,25898,295050755,"mcf","mcf"
15398,1,88077,25899,36037153,"tons","tons"
15399,1,88077,25899,13897943,"bbl","bbl"
15400,1,88077,25899,290282543,"mcf","mcf"
15398,1,88077,25900,32763629,"tons","tons"
15399,1,88077,25900,13503258,"bbl","bbl"
15400,1,88077,25900,285515387,"mcf","mcf"
15398,1,88077,25901,35706815,"tons","tons"
15399,1,88077,25901,14736663,"bbl","bbl"
